Seller City,Order ID,Order Delivered At,Total Weight,Volume,fulfilment_mode_id,Drop Area,Drop City,lat,lng,Pickup Area,Amount,Seller Latitude,Seller Longitude
Karachi,"3,436,926","March 30, 2024",24,0.03,1,KHI 1,Karachi,24.828748426344916,67.12001899257302,KHI 1,"9,170",24.804424,67.059560
Karachi,"3,436,951","March 30, 2024",0.3,0,1,KHI 1,Karachi,24.854504728442837,67.08406196907163,KHI 1,"1,000",24.804424,67.059560
Karachi,"3,436,979","March 30, 2024",3.6,"2,218.32",1,KHI 1,Karachi,24.857148095923126,67.0835312269628,KHI 1,"2,424",24.804424,67.059560
Karachi,"3,436,979","March 30, 2024",0.75,0,1,KHI 1,Karachi,24.857148095923126,67.0835312269628,KHI 1,870,24.804424,67.059560
Karachi,"3,436,979","March 30, 2024",3.6,0.11,1,KHI 1,Karachi,24.857148095923126,67.0835312269628,KHI 1,"2,424",24.804424,67.059560
Karachi,"3,436,987","March 30, 2024",1.2,,1,KHI 1,Karachi,24.832120468843918,67.11511624976993,KHI 1,645,24.804424,67.059560
Karachi,"3,436,987","March 30, 2024",1.2,0.02,1,KHI 1,Karachi,24.832120468843918,67.11511624976993,KHI 1,645,24.804424,67.059560
Karachi,"3,436,987","March 30, 2024",0.6,160,1,KHI 1,Karachi,24.832120468843918,67.11511624976993,KHI 1,"2,030",24.804424,67.059560
Karachi,"3,436,987","March 30, 2024",0.5,0,1,KHI 1,Karachi,24.832120468843918,67.11511624976993,KHI 1,830,24.804424,67.059560
Karachi,"3,436,995","March 30, 2024",54,0.08,1,KHI 1,Karachi,24.860350830220433,67.21385003998876,KHI 1,"2,580",24.804424,67.059560
Karachi,"3,437,010","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.902276633811567,67.1873682551086,KHI 1,"2,550",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",5.4,0,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"1,800",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",18,0.03,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"2,550",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",12.42,0.02,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"1,770",24.804424,67.059560
Karachi,"3,437,076","March 30, 2024",60,0.11,1,KHI 1,Karachi,24.818377600667933,67.13228607550263,KHI 1,"11,300",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",18,0.03,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",12.42,0.02,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"1,770",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",27,0.03,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"2,310",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",27,0.02,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"1,800",24.804424,67.059560
